date,open,low,high,close,volume,change,changePercent,vwap,changeOverTime
736678,171.0618,174.2046,176.7858,175.8203,32425067,2.867,1.652,173.7731,1.6525182139772243
736681,172.2933,170.6381,174.6775,174.3819,27108551,0.157632,0.08900000000000001,172.0233,1.6242518305543092
736682,172.4411,168.0076,172.3623,174.4213,32689146,-0.788166,-0.446,171.6591,1.621394975475608
736683,172.2834,167.5446,169.4559,171.643,51105090,-1.4384,-0.818,172.649,1.6313191894589374
736684,171.5938,164.5988,167.6431,168.579,41529004,0.039409,0.023,172.4368,1.6313191894589374
736685,172.0962,162.2639,164.8944,168.9731,39143011,-2.7783,-1.5930000000000002,167.9134,1.5645615673634827
736689,168.2736,164.0372,165.9502,165.4756,50640406,-3.0639999999999996,-1.785,167.7275,1.5650132923118247
736690,167.584,164.2934,166.1259,164.5003,46048185,0.394083,0.23399999999999999,168.6257,1.5722302088007003
736691,168.4707,157.7319,164.3328,164.9535,32478930,-3.4975,-2.07,167.2376,1.5444155503261268
736692,167.9978,153.6925,161.45600000000002,165.2983,47230787,-0.975356,-0.589,168.7778,1.5899710957076971
736696,167.6431,151.7221,161.2984,158.126,86593825,0.453196,0.275,170.5535,1.589520896857154
736697,169.97799999999998,156.7157,160.9831,154.1753,72738522,0.344821,0.209,170.4129,1.6015495997045472
736698,169.9879,152.7369,158.6186,160.6186,68243838,-7.1723,-4.3389999999999995,172.0884,1.6311681057768903
736699,170.8746,148.6213,156.1889,157.1802,51608580,-3.9507,-2.498,172.0453,1.621394975475608
736702,171.7711,155.813,162.1242,152.8551,54390516,6.4433,4.178999999999999,171.7257,1.6210943342093131
736703,171.9682,159.9084,162.975,154.7248,70672608,-3.4384,-2.141,171.0576,1.6204930516767233
736704,170.5987,161.1251,165.7349,160.9569,60819539,-4.3251,-2.752,172.5459,1.6353786096028176
736705,172.0076,167.1792,171.2251,162.5694,32549163,1.8697,1.2229999999999999,174.0842,1.6625919855448017
736706,173.5741,169.9193,172.9365,165.5667,40644933,6.2321,4.0280000000000005,174.8869,1.6490600763659338
736710,175.2686,169.5731,172.3825,171.1262,51147171,1.6124,1.002,174.6244,1.6928133002475327
736711,173.5445,169.1675,172.24400000000003,170.5722,40176091,2.9974,1.844,176.7235,1.6952184303778919
736712,176.7169,169.86,172.0758,169.9985,33930540,5.5594,3.358,175.7713,1.683189727530499
736713,175.9681,171.6703,173.7575,169.2269,37471623,-0.553966,-0.324,174.4937,1.6612383367975754
736716,174.6775,174.3115,177.4572,170.6415,30991940,-0.573751,-0.336,175.3458,1.6618396193301652
736717,174.6775,176.2405,178.5355,173.6091,33812360,-0.771596,-0.45399999999999996,172.2257,1.619440044195792
736718,174.6282,176.1317,178.669,177.0418,38162174,1.4146,0.836,169.7176,1.5726804076512442
736719,171.9238,170.7997,173.5003,176.468,38928125,2.9677,1.739,168.51,1.5786947590749405
736720,169.4559,170.592,174.4005,176.2009,37782138,3.4326,1.9769999999999999,165.8275,1.5253194885741057
736723,167.6431,172.6397,175.825,173.1145,48801970,-0.57375,-0.324,163.7554,1.5104354567458105
736724,163.0767,174.2324,176.3295,174.3115,38453950,-0.26709099999999997,-0.151,164.8697,1.5173517319683911
736725,164.4018,172.3924,173.9554,174.9149,28401366,-3.0864,-1.7519999999999998,165.123,1.5226137171774516
736726,164.6924,173.1838,175.2117,174.7665,23788506,1.197,0.691,160.321,1.4131574047791278
736727,163.5446,175.4788,178.0607,173.1442,31703462,0.603428,0.34600000000000003,158.1638,1.3528658590557114
736730,156.7467,178.2684,180.4249,175.0336,23774107,-0.148383,-0.085,157.2464,1.4511969185033249
736731,152.5399,177.3088,181.523,178.0409,32185162,-1.6223,-0.9279999999999999,158.6953,1.3987235718013755
736732,160.6728,175.8943,178.5751,179.7621,32207081,1.8894,1.091,156.6481,1.3327183159205571
736733,157.9191,176.1516,178.2981,178.03099999999998,31693529,3.0072,1.7180000000000002,153.1865,1.3612517664582011
736734,155.3777,175.7063,177.1901,176.5175,29368356,1.7213,0.9670000000000001,159.7434,1.456359707355486
736737,156.7923,171.78900000000002,175.5579,176.7252,22743798,-1.7311,-0.963,161.5889,1.4809680343555136
736738,160.2051,173.0552,174.8951,176.102,39404688,-1.5135,-0.85,163.8065,1.5267097636684948
736739,161.2883,169.4148,173.2036,173.4113,33446771,0.20773699999999998,0.11800000000000001,169.6435,1.611553170773396
736740,167.9607,166.7835,170.8195,173.3519,19649350,-0.623212,-0.353,171.5788,1.6030985889699756
736741,170.503,163.1629,168.0893,169.4247,37054935,-2.6907,-1.528,171.0854,1.5943433659002604
736745,170.1963,164.6468,171.235,167.0308,41490767,-0.059354,-0.034,171.1065,1.58256799528741
736746,170.9679,165.1216,173.2629,163.1629,41028784,-3.9272,-2.265,171.0752,1.6041561747443025
736747,169.949,163.4102,168.1882,170.9086,37541236,-2.3939,-1.413,172.7767,1.6494446530111435
736748,171.7989,165.1018,169.8995,166.5263,40922579,-3.8679,-2.316,176.4497,1.7018310121385818
736751,174.45,162.69799999999998,167.1198,164.6863,41668545,7.7456,4.747,177.362,1.693074262971068
736752,177.1704,163.1036,166.9274,165.9723,38398505,-4.3823,-2.5639999999999996,177.4229,1.6889980557514046
736753,177.3286,162.9947,170.1567,164.8842,37586791,-1.84,-1.105,174.1917,1.6418965733000033
736754,176.6164,170.226,172.3532,166.5757,30278046,1.286,0.7809999999999999,172.8849,1.6601639639474657
736755,170.9382,166.3878,170.6217,169.7611,34605489,-1.0881,-0.6559999999999999,174.6194,1.6693724380633206
